  mype,      init,    upsend,    dnsend,    weight,    hfiltT,     hfilt,    vfiltT,     vfilt,     bocoT,      boco,   filt2an,     aintp,      intp,   an2filt,    output,     total,  multiply,  ifc_mult,   ifc_reg,  ifc_fset,preprocess,anal_to_fi, filtering,filt_to_an,postproces,    icount
   175,    0.0000,    6.1118,   85.2947,    0.3924,   25.8328,   25.5231,    8.1817,    4.2870,    3.7261,    7.8009,    0.0000,    0.0000,    0.0000,   24.6151,    0.0000,    0.0000,  224.0092,  224.0855,    0.0093,    0.0177,    4.6617,   25.1144,  167.2631,   19.9473,    5.5965,      3060
   176,    0.0000,    5.9448,   85.9696,    0.3701,   25.8109,   25.5040,    8.1246,    4.0617,    3.5468,    7.7994,    0.0000,    0.0000,    0.0000,   24.6059,    0.0000,    0.0000,  223.2662,  223.3444,    0.0093,    0.0181,    4.6362,   25.1690,  167.2426,   18.6812,    6.1391,      3060
   177,    0.0000,    5.7286,   84.9480,    0.3113,   25.8699,   25.5920,    8.1447,    4.1653,    3.4773,    7.7500,    0.0000,    0.0000,    0.0000,   23.9292,    0.0000,    0.0000,  222.5147,  222.5965,    0.0095,    0.0200,    4.6364,   24.6221,  166.1036,   19.2093,    6.5400,      3060
   178,    0.0000,    3.1137,   84.4837,    0.2426,   25.7905,   25.6152,    8.1489,    4.5749,    4.8598,    7.7323,    0.0000,    0.0000,    0.0000,   23.9506,    0.0000,    0.0000,  211.6302,  211.7201,    0.0098,    0.0214,    4.5592,   24.6512,  164.6724,    9.4363,    6.9968,      3060
   179,    0.0000,    6.0308,   84.9145,    0.2342,   25.5420,   25.5076,    7.1163,    4.3802,    3.3948,    7.7359,    0.0000,    0.0000,    0.0000,   22.0511,    0.0000,    0.0000,  213.7673,  213.8603,    0.0110,    0.0242,    4.6464,   22.4263,  164.9561,   13.6017,    6.7053,      3060
   180,    0.0000,    4.6397,   85.3196,    0.2198,   25.5597,   25.4920,    7.0223,    5.1806,    3.7350,    7.6269,    0.0000,    0.0000,    0.0000,   22.1672,    0.0000,    0.0000,  208.8431,  208.9286,    0.0099,    0.0209,    4.5257,   22.5659,  164.8934,    8.5375,    6.9101,      3060
   181,    0.0000,    4.8387,   83.7287,    0.2190,   25.5375,   25.5211,    7.0827,    4.5236,    4.0651,    7.7333,    0.0000,    0.0000,    0.0000,   21.8485,    0.0000,    0.0000,  208.6591,  208.7345,    0.0086,    0.0181,    4.3744,   22.3425,  163.3509,   10.3323,    6.9982,      3060
   182,    0.0000,    7.5369,   81.9446,    0.2723,   25.6751,   25.5091,    7.1770,    7.4876,    3.7922,    7.7115,    0.0000,    0.0000,    0.0000,   22.6197,    0.0000,    0.0000,  217.8484,  217.9131,    0.0068,    0.0164,    3.0654,   23.4179,  167.2175,   17.2735,    6.0206,      3060
   183,    0.0000,    6.2592,   82.1691,    0.3791,   25.6484,   25.6074,    7.1596,    7.6327,    3.7561,    7.7989,    0.0000,    0.0000,    0.0000,   24.1602,    0.0000,    0.0000,  220.0636,  220.1301,    0.0073,    0.0166,    3.3623,   24.6669,  166.5250,   18.8268,    5.7979,      3060
   184,    0.0000,    6.8517,   82.7312,    0.4130,   25.6518,   25.5559,    7.1763,    7.0107,    3.7184,    7.7898,    0.0000,    0.0000,    0.0000,   21.9506,    0.0000,    0.0000,  219.5399,  219.6095,    0.0084,    0.0157,    4.6119,   22.3994,  167.0105,   18.8293,    5.3506,      3060
   185,    0.0000,    5.6721,   83.3003,    0.4279,   25.6068,   25.5278,    7.0659,    6.9080,    3.8727,    7.7166,    0.0000,    0.0000,    0.0000,   23.5426,    0.0000,    0.0000,  219.7404,  219.8129,    0.0083,    0.0180,    4.6482,   23.9065,  166.2059,   18.5597,    5.0681,      3060
