"group"	"reduction_pct"	"name"	"total_ms_1936"	"total_ms_484"	"count_1936"	"count_484"	"time_per_call_ms_1936"	"time_per_call_ms_484"
"G1 >50% faster"	"66.31"	"ufo::ObsFilter::preProcess"	"116.69"	"346.4"	"84"	"84"	"1.3892"	"4.1238"
"G1 >50% faster"	"66.14"	"oops::GetValues::fillGeoVaLs"	"21.94"	"64.8"	"15"	"15"	"1.4628"	"4.3203"
"G1 >50% faster"	"65.85"	"oops::Increment::serialize"	"6637.61"	"19434.11"	"2610"	"2970"	"2.5431"	"6.5435"
"G1 >50% faster"	"65.16"	"Vader::changeVarTraj"	"6.84"	"19.63"	"2"	"2"	"3.4181"	"9.8139"
"G1 >50% faster"	"64.99"	"oops::ObsSpace::save"	"387.92"	"1108.03"	"3"	"3"	"129.3063"	"369.3434"
"G1 >50% faster"	"64.81"	"oops::GeometryData::setLocalTree"	"43.41"	"123.37"	"23"	"23"	"1.8873"	"5.3641"
"G1 >50% faster"	"63.64"	"oops::ObsVector::zero"	"0.04"	"0.11"	"195"	"231"	"0.0002"	"0.0005"
"G1 >50% faster"	"62.7"	"ObsFilter::Variable Assignment::postFilter"	"1.41"	"3.78"	"4"	"4"	"0.3532"	"0.9458"
"G1 >50% faster"	"59.16"	"oops::State::print"	"90.59"	"221.81"	"6"	"6"	"15.0987"	"36.9686"
"G1 >50% faster"	"57.33"	"oops::Increment::operator-="	"61.77"	"144.75"	"63"	"63"	"0.9805"	"2.2977"
"G1 >50% faster"	"55.48"	"oops::GeoVaLs::fillAD"	"0.69"	"1.55"	"1536"	"1596"	"0.0005"	"0.001"
"G1 >50% faster"	"53.32"	"oops::GetValueTLADs::preProcessModelData"	"454.43"	"973.45"	"128"	"152"	"3.5502"	"6.4043"
"G1 >50% faster"	"51.95"	"oops::Covariance::ensemble::multiply"	"459624.55"	"956609.92"	"87"	"99"	"5283.0409"	"9662.7265"
"G1 >50% faster"	"50.29"	"oops::Localization::multiply"	"444264"	"893747.51"	"2610"	"2970"	"170.2161"	"300.9251"
"G2 50%..10% faster"	"50"	"oops::ModelAuxCovariance::multiply"	"0.01"	"0.02"	"64"	"76"	"0.0002"	"0.0002"
"G2 50%..10% faster"	"50"	"oops::ModelAuxIncrement::ModelAuxIncrement"	"0.09"	"0.18"	"288"	"336"	"0.0003"	"0.0005"
"G2 50%..10% faster"	"50"	"oops::ModelAuxIncrement::operator*="	"0.02"	"0.04"	"122"	"146"	"0.0002"	"0.0003"
"G2 50%..10% faster"	"50"	"oops::ModelAuxIncrement::zero"	"0.01"	"0.02"	"64"	"76"	"0.0001"	"0.0003"
"G2 50%..10% faster"	"50"	"oops::ObsAuxIncrement::zero"	"0.06"	"0.12"	"192"	"228"	"0.0003"	"0.0005"
"G2 50%..10% faster"	"50"	"oops::ObsDataVector::~ObsDataVector"	"0.01"	"0.02"	"21"	"21"	"0.0007"	"0.0007"
"G2 50%..10% faster"	"50"	"oops::ObsVector::operator="	"0.04"	"0.08"	"39"	"39"	"0.001"	"0.0021"
"G2 50%..10% faster"	"49.3"	"saber::Localization::multiply"	"434009.29"	"856113.15"	"2610"	"2970"	"166.2871"	"288.2536"
"G2 50%..10% faster"	"47.57"	"oops::LinearVariableChange::changeVarTL"	"3.02"	"5.76"	"62"	"74"	"0.0487"	"0.0778"
"G2 50%..10% faster"	"47.45"	"oops::VariableChange::changeVar"	"878.53"	"1671.9"	"5"	"5"	"175.7052"	"334.3796"
"G2 50%..10% faster"	"45.24"	"oops::ObsDataVector::print"	"35.58"	"64.97"	"9"	"9"	"3.9529"	"7.2194"
"G2 50%..10% faster"	"45.01"	"oops::Covariance::ensemble::inverseMultiply"	"123950.06"	"225407.04"	"3"	"3"	"41316.6852"	"75135.68"
"G2 50%..10% faster"	"44.44"	"oops::LinearObsOper::aircar_winds_233::setTrajector"	"0.15"	"0.27"	"2"	"2"	"0.0744"	"0.1331"
"G2 50%..10% faster"	"41.04"	"util::Timers::measured"	"750511.41"	"1272853.58"	"1"	"1"	"750511.4059"	"1272853.583"
"G2 50%..10% faster"	"41.02"	"util::Timers::Total"	"751146.74"	"1273497.75"	"1"	"1"	"751146.7428"	"1273497.7517"
"G2 50%..10% faster"	"40.09"	"oops::GeoVaLs::fill"	"1.33"	"2.22"	"1760"	"1792"	"0.0008"	"0.0012"
"G2 50%..10% faster"	"37.41"	"oops::ObsAuxIncrement::axpy"	"1.69"	"2.7"	"3495"	"4737"	"0.0005"	"0.0006"
"G2 50%..10% faster"	"35.93"	"oops::ObsAuxIncrement::dot_product_with"	"1.73"	"2.7"	"3897"	"5211"	"0.0004"	"0.0005"
"G2 50%..10% faster"	"35.57"	"oops::LinearVariableChange::changeVarTraj"	"42.24"	"65.56"	"2"	"2"	"21.118"	"32.779"
"G2 50%..10% faster"	"33.33"	"oops::ObsOperator::aircar_specificHumidity_133::com"	"0.04"	"0.06"	"5"	"5"	"0.0082"	"0.0112"
"G2 50%..10% faster"	"29.83"	"oops::Increment::serialSize"	"4.94"	"7.04"	"2898"	"3306"	"0.0017"	"0.0021"
"G2 50%..10% faster"	"25"	"oops::ObsAuxIncrement::operator+="	"0.33"	"0.44"	"558"	"666"	"0.0006"	"0.0007"
"G2 50%..10% faster"	"25"	"oops::ObsDataVector::ObsDataVector"	"0.06"	"0.08"	"21"	"21"	"0.0028"	"0.0038"
"G2 50%..10% faster"	"24.93"	"oops::Parameters::deserialize"	"429.72"	"572.42"	"364"	"364"	"1.1805"	"1.5726"
"G2 50%..10% faster"	"24.67"	"oops::Parameters::serialize"	"12.15"	"16.13"	"551"	"551"	"0.022"	"0.0293"
"G2 50%..10% faster"	"21.73"	"oops::GeoVaLs::GeoVaLs"	"18.73"	"23.93"	"393"	"465"	"0.0477"	"0.0515"
"G2 50%..10% faster"	"20.2"	"oops::ObsVector::ObsVector"	"1.58"	"1.98"	"441"	"513"	"0.0036"	"0.0039"
"G2 50%..10% faster"	"20"	"oops::ObsAuxIncrement::operator="	"0.12"	"0.15"	"210"	"246"	"0.0006"	"0.0006"
"G2 50%..10% faster"	"20"	"oops::ObsOperator::aircar_specificHumidity_133::sim"	"0.04"	"0.05"	"3"	"3"	"0.0148"	"0.0153"
"G2 50%..10% faster"	"19.32"	"oops::GeoVaLs::~GeoVaLs"	"0.71"	"0.88"	"393"	"465"	"0.0018"	"0.0019"
"G2 50%..10% faster"	"18.9"	"oops::LinearObsOper::aircar_airTemperature_133::sim"	"1.03"	"1.27"	"62"	"74"	"0.0167"	"0.0171"
"G2 50%..10% faster"	"18.64"	"oops::ObsError::update"	"72.3"	"88.86"	"9"	"9"	"8.0334"	"9.8735"
"G2 50%..10% faster"	"18.18"	"oops::ObsAuxPreconditioner::multiply"	"0.09"	"0.11"	"192"	"228"	"0.0004"	"0.0005"
"G2 50%..10% faster"	"17.91"	"ObsFilter::Background Check::postFilter"	"62.91"	"76.64"	"16"	"16"	"3.9316"	"4.7897"
"G2 50%..10% faster"	"16.67"	"oops::LinearObsOper::aircar_specificHumidity_133::s"	"0.1"	"0.12"	"62"	"74"	"0.0017"	"0.0016"
"G2 50%..10% faster"	"16.67"	"oops::ObsOperator::aircar_winds_233::locations"	"0.3"	"0.36"	"5"	"5"	"0.0608"	"0.0728"
"G2 50%..10% faster"	"15.99"	"oops::Increment::~Increment"	"144.46"	"171.95"	"5981"	"6797"	"0.0242"	"0.0253"
"G2 50%..10% faster"	"15.38"	"oops::ObsAuxCovariance::multiply"	"0.33"	"0.39"	"192"	"228"	"0.0017"	"0.0017"
"G2 50%..10% faster"	"14.29"	"oops::ObsAuxIncrement::serialSize"	"0.06"	"0.07"	"1728"	"2016"	"0"	"0"
"G2 50%..10% faster"	"14.12"	"saber::Interpolation::multiplyAD"	"129918.61"	"151282.31"	"2610"	"2970"	"49.7772"	"50.9368"
"G2 50%..10% faster"	"12.37"	"oops::Covariance::EnsembleCovariance"	"142511.41"	"162637.01"	"2"	"2"	"71255.7056"	"81318.5037"
"G2 50%..10% faster"	"12.2"	"oops::ObsError::inverseMultiply"	"0.36"	"0.41"	"195"	"231"	"0.0018"	"0.0018"
"G2 50%..10% faster"	"11.96"	"fv3jedi::IOFms::read state"	"140892.98"	"160024.21"	"61"	"61"	"2309.7209"	"2623.3478"
"G2 50%..10% faster"	"10.85"	"oops::ObsSpace::ObsSpace"	"937.36"	"1051.44"	"3"	"3"	"312.4547"	"350.4789"
"G3 10%..-10%"	"9.8"	"oops::ObsVector::save"	"0.46"	"0.51"	"27"	"27"	"0.017"	"0.019"
"G3 10%..-10%"	"9.25"	"ufo::ObsFilter::ObsFilter"	"152.88"	"168.46"	"84"	"84"	"1.82"	"2.0054"
"G3 10%..-10%"	"8.82"	"oops::State::State"	"173071.92"	"189818.9"	"140"	"140"	"1236.228"	"1355.8493"
"G3 10%..-10%"	"7.66"	"oops::GetValues::fillGeoVaLsAD"	"6.75"	"7.31"	"192"	"228"	"0.0351"	"0.0321"
"G3 10%..-10%"	"5.93"	"oops::Increment::operator+=(State, Increment)"	"2780.52"	"2955.7"	"2"	"2"	"1390.2593"	"1477.8517"
"G3 10%..-10%"	"5.26"	"oops::ObsVector::operator*="	"0.18"	"0.19"	"216"	"252"	"0.0009"	"0.0008"
"G3 10%..-10%"	"5.05"	"ObsFilter::Variable Assignment::ObsFilter"	"0.94"	"0.99"	"4"	"4"	"0.2348"	"0.247"
"G3 10%..-10%"	"4.65"	"fv3jedi::VarChaModel2GeoVaLs::changeVar"	"581.74"	"610.09"	"5"	"5"	"116.3477"	"122.0172"
"G3 10%..-10%"	"3.7"	"oops::ObsAuxIncrement::operator*="	"0.26"	"0.27"	"366"	"438"	"0.0007"	"0.0006"
"G3 10%..-10%"	"3.57"	"oops::ObsOperator::aircar_winds_233::ObsOperator"	"0.27"	"0.28"	"3"	"3"	"0.0891"	"0.0938"
"G3 10%..-10%"	"2.7"	"ObsFilter::Variable Assignment::preProcess"	"0.36"	"0.37"	"4"	"4"	"0.0888"	"0.092"
"G3 10%..-10%"	"0.47"	"oops::GetValues::GetValues"	"5397.78"	"5423.3"	"15"	"15"	"359.8517"	"361.5531"
"G3 10%..-10%"	"0"	"fv3jedi::VarChaModel2GeoVaLs::~VarChaModel2GeoVaLs"	"0.02"	"0.02"	"5"	"5"	"0.0043"	"0.004"
"G3 10%..-10%"	"0"	"ObsFilter::Background Check::preProcess"	"0.25"	"0.25"	"16"	"16"	"0.0157"	"0.0153"
"G3 10%..-10%"	"0"	"ObsFilter::Background Check::priorFilter"	"0.01"	"0.01"	"16"	"16"	"0.0005"	"0.0005"
"G3 10%..-10%"	"0"	"ObsFilter::Final Check::ObsFilter"	"0.03"	"0.03"	"9"	"9"	"0.0031"	"0.0038"
"G3 10%..-10%"	"0"	"ObsFilter::Final Check::priorFilter"	"0.01"	"0.01"	"9"	"9"	"0.0012"	"0.0012"
"G3 10%..-10%"	"0"	"ObsFilter::Variable Assignment::priorFilter"	"0.01"	"0.01"	"4"	"4"	"0.002"	"0.002"
"G3 10%..-10%"	"0"	"oops::Covariance::ensemble::Constructor"	"0.01"	"0.01"	"2"	"2"	"0.0068"	"0.0059"
"G3 10%..-10%"	"0"	"oops::LinearObsOper::aircar_specificHumidity_133::~"	"0.01"	"0.01"	"2"	"2"	"0.0035"	"0.0027"
"G3 10%..-10%"	"0"	"oops::LinearObsOper::aircar_specificHumidity_133::L"	"0.09"	"0.09"	"2"	"2"	"0.0461"	"0.0448"
"G3 10%..-10%"	"0"	"oops::LinearObsOper::aircar_winds_233::LinearObsOpe"	"0.08"	"0.08"	"2"	"2"	"0.0407"	"0.0395"
"G3 10%..-10%"	"0"	"oops::ModelAuxControl::~ModelAuxControl"	"0.01"	"0.01"	"5"	"5"	"0.0011"	"0.0012"
"G3 10%..-10%"	"0"	"oops::ModelAuxControl::ModelAuxControl"	"0.01"	"0.01"	"5"	"5"	"0.0025"	"0.0017"
"G3 10%..-10%"	"0"	"oops::ModelAuxIncrement::print"	"0.01"	"0.01"	"13"	"13"	"0.0006"	"0.0007"
"G3 10%..-10%"	"0"	"oops::ModelAuxIncrement::serialSize"	"0.02"	"0.02"	"288"	"336"	"0.0001"	"0.0001"
"G3 10%..-10%"	"0"	"oops::ObsAuxControl::print"	"0.01"	"0.01"	"18"	"18"	"0.0008"	"0.0005"
"G3 10%..-10%"	"0"	"oops::ObsAuxControl::requiredVars"	"0.01"	"0.01"	"30"	"30"	"0.0002"	"0.0002"
"G3 10%..-10%"	"0"	"oops::ObsAuxCovariance::write"	"0.04"	"0.04"	"3"	"3"	"0.0131"	"0.0139"
"G3 10%..-10%"	"0"	"oops::ObsDataVector::operator="	"0.02"	"0.02"	"15"	"15"	"0.0011"	"0.0012"
"G3 10%..-10%"	"0"	"oops::ObsDiagnostics::~ObsDiagnostics"	"0.04"	"0.04"	"9"	"9"	"0.0049"	"0.0047"
"G3 10%..-10%"	"0"	"oops::ObsError::~ObsError"	"0.01"	"0.01"	"3"	"3"	"0.0018"	"0.0017"
"G3 10%..-10%"	"0"	"oops::ObsError::ObsErrors"	"0.03"	"0.03"	"9"	"9"	"0.0029"	"0.003"
"G3 10%..-10%"	"0"	"oops::ObsOperator::aircar_airTemperature_133::~ObsO"	"0.04"	"0.04"	"3"	"3"	"0.0119"	"0.0122"
"G3 10%..-10%"	"0"	"oops::ObsOperator::aircar_specificHumidity_133::~Ob"	"0.01"	"0.01"	"3"	"3"	"0.0027"	"0.0027"
"G3 10%..-10%"	"0"	"oops::ObsOperator::aircar_winds_233::~ObsOperator"	"0.01"	"0.01"	"3"	"3"	"0.0026"	"0.0025"
"G3 10%..-10%"	"0"	"oops::ObsOperator::aircar_winds_233::computeReduced"	"0.04"	"0.04"	"5"	"5"	"0.0086"	"0.0085"
