  mype,      init,    upsend,    dnsend,    weight,    hfiltT,     hfilt,    vfiltT,     vfilt,     bocoT,      boco,   filt2an,     aintp,      intp,   an2filt,    output,     total,  multiply,  ifc_mult,   ifc_reg,  ifc_fset,preprocess,anal_to_fi, filtering,filt_to_an,postproces,    icount
     8,    0.0000,   53.4769,   49.4921,   25.4509,  134.9892,  135.9115,   10.8862,   37.6711,   37.3606,   11.4583,    0.0000,    0.0000,    0.0000,  100.6568,    0.0000,    0.0000,  687.3381,  687.5645,    0.0268,    0.0727,   11.2296,  101.7670,  497.0251,   57.8034,   15.1543,      3060
     9,    0.0000,   54.0832,   46.9313,   25.8188,  134.8834,  135.9247,   10.9707,   37.7658,   38.1688,   11.3742,    0.0000,    0.0000,    0.0000,   99.9555,    0.0000,    0.0000,  687.0306,  687.2512,    0.0279,    0.0694,   11.1790,  101.3578,  496.2312,   57.9856,   15.8803,      3060
    10,    0.0000,   53.3750,   47.1038,   26.0708,  134.8263,  135.9325,   10.9670,   38.2755,   38.2939,   11.4058,    0.0000,    0.0000,    0.0000,  100.5013,    0.0000,    0.0000,  685.9004,  686.1273,    0.0278,    0.0720,   11.1271,  101.8215,  496.5753,   56.1489,   16.1510,      3060
    11,    0.0000,   56.3925,   43.8522,   25.6115,  135.3384,  135.8031,   10.9400,   37.0382,   37.1354,   11.4905,    0.0000,    0.0000,    0.0000,  100.2664,    0.0000,    0.0000,  684.8294,  685.0583,    0.0281,    0.0727,   11.1347,  101.3804,  493.9506,   57.6980,   16.5527,      3060
    12,    0.0000,   54.2051,   44.5926,   26.7056,  134.9778,  134.2448,   11.2757,   36.7684,   37.8948,   11.4895,    0.0000,    0.0000,    0.0000,  100.3633,    0.0000,    0.0000,  677.2396,  677.4597,    0.0270,    0.0685,   11.2409,  101.5178,  492.4434,   49.8163,   18.2359,      3060
    13,    0.0000,   55.3154,   36.0896,   26.4596,  135.0766,  134.2776,   11.2301,   35.7364,   37.5065,   12.5470,    0.0000,    0.0000,    0.0000,   98.1016,    0.0000,    0.0000,  669.8929,  670.1139,    0.0268,    0.0688,   11.1949,   99.6520,  484.5668,   49.6594,   21.0185,      3060
    14,    0.0000,   49.3322,   59.6811,   26.8965,  134.8870,  134.4526,   11.2947,   43.3216,   36.3524,   11.9351,    0.0000,    0.0000,    0.0000,   96.4087,    0.0000,    0.0000,  687.7348,  687.9699,    0.0290,    0.0726,   11.3530,   97.9576,  508.4855,   52.4162,   13.3853,      3060
    15,    0.0000,   46.4816,   56.4006,   25.7401,  134.8128,  134.9137,   11.3248,   46.5172,   36.9574,   12.0440,    0.0000,    0.0000,    0.0000,  100.4492,    0.0000,    0.0000,  689.0010,  689.2267,    0.0277,    0.0723,   11.4165,  101.3375,  505.5060,   54.4951,   12.1100,      3060
    16,    0.0000,   50.3703,   52.0564,   14.2365,  133.8202,  134.2891,   10.6906,   45.4911,   48.5578,   10.4593,    0.0000,    0.0000,    0.0000,   99.9527,    0.0000,    0.0000,  688.0693,  688.2855,    0.0276,    0.0699,   11.0074,  101.4250,  500.2387,   59.9510,   11.5394,      3060
    17,    0.0000,   51.0419,   45.0709,   15.3423,  133.8514,  133.5605,   10.6716,   38.8693,   54.7777,   10.6818,    0.0000,    0.0000,    0.0000,   99.2331,    0.0000,    0.0000,  685.9962,  686.2072,    0.0269,    0.0641,   11.0319,  100.9007,  494.1390,   60.8401,   15.0899,      3060
