OOPS_STATS ------------------------------------ Timing Statistics -------------------------------------
OOPS_STATS --------------------------------------------------------------------------------------------
OOPS_STATS Name                                                :   total (ms)   count    time/call (ms)
nid003592.dogwood.wcoss2.ncep.noaa.gov 0: OOPS_STATS oops::mpi::broadcast                                :     43498.82    3060           14.2153
OOPS_STATS saber::Interpolation::multiply                      :    157579.30    3060           51.4965
OOPS_STATS saber::Interpolation::multiplyAD                    :    196387.08    3060           64.1788
OOPS_STATS saber::Localization::Localization                   :      1311.12       2          655.5578
OOPS_STATS saber::Localization::multiply                       :   1221254.93    3060          399.1029
OOPS_STATS saber::Localization::~Localization                  :         0.00       2            0.0002
OOPS_STATS saber::mgbf::Covariance::Covariance                 :       879.30       2          439.6508
OOPS_STATS saber::mgbf::Covariance::multiply                   :    720706.44    3060          235.5250
OOPS_STATS saber::mgbf::Covariance::~Covariance                :       681.17       2          340.5833
OOPS_STATS ufo::ObsFilter::ObsFilter                           :       233.64      10           23.3637
nid003592.dogwood.wcoss2.ncep.noaa.gov 0: OOPS_STATS ufo::ObsFilter::checkFilterData                     :         0.01      30            0.0005
OOPS_STATS ufo::ObsFilter::postFilter                          :       102.79      10           10.2794
OOPS_STATS ufo::ObsFilter::preProcess                          :        24.50      10            2.4501
OOPS_STATS ufo::ObsFilter::priorFilter                         :         0.06      10            0.0058
OOPS_STATS ufo::ObsFilter::~ObsFilter                          :       181.30      21            8.6333
OOPS_STATS util::Timers::Total                                 :   1531791.84       1      1531791.8443
OOPS_STATS util::Timers::measured                              :   1530458.63       1      1530458.6251
OOPS_STATS ------------------------------------ Timing Statistics -------------------------------------
nid003592.dogwood.wcoss2.ncep.noaa.gov 0: 
OOPS_STATS ------------------------------------------------------------------------------------------------------------------
nid003592.dogwood.wcoss2.ncep.noaa.gov 0: OOPS_STATS ---------------------------------- Parallel Timing Statistics ( 196 MPI tasks) -----------------------------------
OOPS_STATS ------------------------------------------------------------------------------------------------------------------
OOPS_STATS Name                                                :     min (ms)    max (ms)    avg (ms)     % total   imbal (%)
OOPS_STATS oops::Covariance::EnsembleCovariance                :    139722.39   139859.37   139764.46        9.12        0.10
OOPS_STATS oops::Covariance::ensemble::multiply                :   1312646.02  1318634.43  1317116.57       85.99        0.45
OOPS_STATS oops::GeoVaLs::GeoVaLs                              :      1736.48     3116.70     2145.15        0.14       64.34
OOPS_STATS oops::Geometry::Geometry                            :      2941.95     3065.43     3008.40        0.20        4.10
OOPS_STATS oops::GetValueTLADs::preProcessModelData            :       189.12    13058.01     1533.94        0.10      838.94
OOPS_STATS oops::GetValues::fillGeoVaLsTL                      :      1466.84     2328.06     1829.64        0.12       47.07
OOPS_STATS oops::GetValues::finalizeAD                         :        59.33     8827.84     6811.48        0.44      128.73
OOPS_STATS oops::Increment::Increment                          :      4173.86    18723.15    11064.16        0.72      131.50
OOPS_STATS oops::Increment::axpy                               :       992.42     9349.35     8854.09        0.58       94.38
OOPS_STATS oops::Increment::deserialize                        :       751.90    10780.06     7634.23        0.50      131.36
OOPS_STATS oops::Increment::dot_product_with                   :     13507.01    30101.44    17564.49        1.15       94.48
OOPS_STATS oops::Increment::fromFieldSet                       :      8632.36    26052.79    18733.40        1.22       92.99
OOPS_STATS oops::Increment::operator+=                         :      1457.99    12945.73     9481.78        0.62      121.16
OOPS_STATS oops::Increment::openid003592.dogwood.wcoss2.ncep.noaa.gov 0: rator=                          :      1207.70     9796.42     6735.81        0.44      127.51
OOPS_STATS oops::Increment::print                              :     63040.25   255347.85   108391.64        7.08      177.42
OOPS_STATS oops::Increment::schur_product_with                 :      2764.26    19959.48    13717.31        0.90      125.35
OOPS_STATS oops::Increment::serialize                          :      2498.56    45622.37    28370.74        1.85      152.00
OOPS_STATS oops::Increment::toFieldSet                         :      9535.71    28670.57    16775.09        1.10      114.07
OOPS_STATS oops::LinearVariableChange::changeVarAD             :      1054.95     4208.11     2630.09        0.17      119.89
OOPS_STATS oops::Localization::multiply                        :   1244755.52  1298626.63  1267884.52       82.77        4.25
OOPS_STATS oops::State::State                                  :    145339.24   145845.28   145775.19        9.52        0.35
OOPS_STATS oops::State::write                                  :      2888.62     3006.80     2895.63        0.19        4.08
OOPS_STATS oops::UnstructuredInterpolator::apply               :     18402.82    54308.41    30419.35        1.99      118.04
OOPS_STATS oops::UnstructuredInterpolator::applyAD             :     10489.67    35983.27    17149.29        1.12      148.66
OOPS_STATS oops::mpi::broadcast                                :      3329.71    55809.40    36229.70        2.37      144.85
OOPS_STATS saber::Interpolation::multiply                      :     96673.61   220821.06   179607.61       11.73       69.12
OOPS_STATS saber::Interpolation::multiplyAD                    :    196387.08   198034.35   197160.43       12.87        0.84
OOPS_STATS saber::Localization::multiply                       :   1195218.72  1293097.88  1227429.81       80.13        7.97
OOPS_STATS saber::mgbf::Covariance::multiply                   :    720451.69   721362.64   720809.45       47.06        0.13
OOPS_STATS util::Timers::Total                                nid003592.dogwood.wcoss2.ncep.noaa.gov 0:  :   1531667.92  1531862.01  1531774.91      100.00        0.01
OOPS_STATS util::Timers::measured                              :   1530279.21  1530979.27  1530582.39       99.92        0.05
OOPS_STATS ---------------------------------- Parallel Timing Statistics ( 196 MPI tasks) -----------------------------------

